SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0100-fBX425,11445064000.0,4.0,15.855456,13.280978,1044.15,2036.8,fBX425,Q0100,25.92,-0.02,0.84,yes,2.3802,-2.0,2.3787,AGN,"fm1_K;v strong Lya, prob AGN with CIV, CIII] in emission",Q0100-fBX425,2.3787,,,,,,,,,,,
Q0100-fBX58,7791169500.0,3.0,15.750785,13.267478,817.57,298.81,fBX58,Q0100,25.37,0.18,0.38,n/a,2.0048,2.0,2.0021,GAL,,Q0100-fBX58,2.0021,,,,,,,,,,,
Q0100-fBX59,3845104600.0,1.0,15.751464,13.26164,718.36,309.88,fBX59,Q0100,26.92,0.19,1.25,n/a,-1.0,-1.0,2.2159,GAL,,Q0100-fBX59,2.2159,,,,,,,,,,,
Q0100-fBX82,616742660.0,2.0,15.757472,13.266407,799.17,409.81,fBX82,Q0100,25.89,0.14,0.7,n/a,-1.0,-1.0,2.2751,GAL,,Q0100-fBX82,2.2751,,,,,,,,,,,
Q0100-fBX96,2665685500.0,1.0,15.762056,13.26756,818.63,485.98,fBX96,Q0100,25.86,0.16,0.64,n/a,-2.0,2.292,-2.0,GAL,,Q0100-fBX96,2.292,,,,,,,,,,,
Q0100-fMD45,257089260.0,3.0,15.805404,13.268331,830.55,1205.75,fMD45,Q0100,26.05,0.15,0.9,n/a,-1.0,-1.0,2.5612,GAL,,Q0100-fMD45,2.5612,,,,,,,,,,,
Q0100-C7-CS10,535491330.0,0.0,15.783441,13.275412,950.17,839.85,CS10,Q0100,26.78,0.06,0.85,yes,2.3063,-2.0,-1.0,GAL,new  ID,Q0100-C7-CS10,2.3063,,,,,,,,,,,
Q0100-C7-CS14,555432190.0,11.0,15.783234,13.274434,933.76,837.26,CS14,Q0100,24.75,0.2,0.45,yes,2.3095,2.302,-1.0,GAL,aka  BX172-CS1,Q0100-C7-CS14,2.302,,,,,,,,,,,
Q0100-C7-CS2,149721280.0,2.0,15.782911,13.279447,1019.97,831.67,CS2,Q0100,26.32,0.25,-0.01,yes,2.3023,-2.0,-1.0,GAL,aka  BX172-CS2,Q0100-C7-CS2,2.3023,,,,,,,,,,,
Q0100-C7-CS3,1470169000.0,18.0,15.784651,13.27867,1006.3,860.59,CS3,Q0100,25.19,0.68,0.34,yes,2.3134,-2.0,-1.0,GAL,aka  BX172-CS4,Q0100-C7-CS3,2.3134,,,,,,,,,,,
Q0100-C7-CS5,11572762000.0,4.0,15.782357,13.277301,980.76,822.35,CS5,Q0100,25.67,0.33,0.05,yes,2.2999,-2.0,-1.0,GAL,aka  BX172-CS6,Q0100-C7-CS5,2.2999,,,,,,,,,,,
Q0100-C7-CS9,1147492900.0,0.0,15.7815543,13.2757805,9999.0,9999.0,CS9,Q0100,9999.0,9999.0,9999.0,yes,2.2721,-2.0,-1.0,GAL,on   KCWI cube q0100-C7,Q0100-C7-CS9,2.2721,,,,,,,,,,,
Q0100-C7-CS9,1147492900.0,0.0,15.781554,13.275781,956.85,810.01,CS9,Q0100,27.25,-0.0,0.17,yes,2.2271,-2.0,-1.0,GAL,new  ID,Q0100-C7-CS9,2.2271,,,,,,,,,,,
Q0100-NB2241,1147370800.0,0.0,15.775064,13.274464,935.08,702.0,NB2241,Q0100,26.8,0.3,2.13,no,2.7077,-2.0,-1.0,GAL,N4[ap1]; no id for [ap2],Q0100-NB2241,2.7077,,,,,,,,,,,
Q0100-NB2510,105967740.0,2.0,15.779995,13.273586,920.21,784.54,NB2510,Q0100,26.23,-0.11,0.72,yes,2.743,2.742,-1.0,GAL,N1;  abs deep but lowS/N,Q0100-NB2510,2.742,,,,,,,,,,,
Q0100-NB5691,1370816300.0,0.0,15.811816,13.265554,783.57,1312.26,NB5691,Q0100,27.06,0.56,0.74,yes,2.7203,-2.0,-1.0,GAL,N2+N4; broadsh Lya em,Q0100-NB5691,2.7203,,,,,,,,,,,
Q0100-NB5873,1946024300.0,4.0,15.807859,13.280009,1028.95,1247.78,NB5873,Q0100,25.58,0.67,1.67,yes,2.741,-2.0,-1.0,GAL,"N4[ap3]=[*,1]",Q0100-NB5873,2.741,,,,,,,,,,,
Q0100-NB5930,983433220.0,1.0,15.806837,13.280328,1034.69,1229.83,NB5930,Q0100,26.03,0.24,1.68,yes,2.7364,-2.0,-1.0,GAL,"N1;  poss small blip at4531 A; z from N2[ap2]=[*,1], line",Q0100-NB5930,2.7364,,,,,,,,,,,
Q0100-NB1087,676769600.0,1.0,15.752351,13.248116,488.07,324.55,NB1087,Q0100,26.12,-0.07,2.16,yes,2.7414,-2.0,-1.0,GAL,"N4;  double Lya 2.7383/2.7445, strong,red>blue",Q0100-NB1087,2.7414,,,,,,,,,,,
Q0100-NB1327,3727295700.0,74.0,15.757607,13.304,1438.12,413.51,NB1327,Q0100,24.32,1.06,0.19,yes,-2.0,2.685,-1.0,GAL?,N2;  abs z SiIV; noclear-cut Lya em in spectrum,Q0100-NB1327,2.685,,,,,,,,,,,
Q0100-NB1418,2890515500.0,1.0,15.759851,13.264887,773.64,449.4,NB1418,Q0100,26.69,0.32,1.05,yes,-2.0,2.753,-1.0,GAL,"N2;  no Lya em inspec; emissiong offset, not extracted",Q0100-NB1418,2.753,,,,,,,,,,,
Q0100-NB149,10314290000.0,65.0,15.733857,13.307243,1493.62,17.22,NB149,Q0100,23.92,1.34,0.78,yes,2.7184,-2.0,-1.0,GAL,"N2[ap1]; note that [ap1] [*,2]; [ap2] is -2.000 1.787 or",Q0100-NB149,2.7184,,,,,,,,,,,
Q0100-NB1502,624769150.0,12.0,15.761501,13.294123,1269.99,477.65,NB1502,Q0100,27.07,0.39,1.57,no,2.733,-2.0,-1.0,GAL,"N3[ap2]; double Lya, near eqint blue/red, 2.7298/2.7361",Q0100-NB1502,2.733,,,,,,,,,,,
Q0100-NB2682,2691550500.0,1.0,15.782356,13.299507,1360.74,825.16,NB2682,Q0100,26.95,0.16,2.02,yes,2.699,-2.0,-1.0,GAL,"N3;  double Lya, 2.6930/2.6988, redcomp strong",Q0100-NB2682,2.699,,,,,,,,,,,
Q0100-NB4338,4337537000.0,2.0,15.836342,13.26923,844.34,1718.89,NB4338,Q0100,26.0,0.43,1.67,yes,2.7207,-2.0,-1.0,GAL,"N1;  double Lya, 2.7247/2.7167, lineover-subtracted",Q0100-NB4338,2.7207,,,,,,,,,,,
Q0100-NB5488,3378486500.0,5.0,15.816319,13.226843,124.67,1383.98,NB5488,Q0100,26.28,1.24,0.67,yes,2.7432,-2.0,-1.0,GAL,N1+N3; broad low contrast lineonly there in avg,Q0100-NB5488,2.7432,,,,,,,,,,,
