SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0449-BX115,1010714100.0,3.0,73.07442,-16.6626,941.0166,1179.156,BX115,Q0449,24.98,,0.58,yes,2.3377,-2.0,2.3357,GAL,"kcwi q04490BX110 cube; plus2H; plus1jHK,plus1jHK,   plus2_H;nz; m7; huge Lya line, CIII] at z=2.336",Q0449-BX115,2.3357,0.08,,,,,,,,,,
Q0449-BX116,2142253200.0,2.0,73.07477,-16.68266,599.228,1185.548,BX116,Q0449,24.9,,0.55,yes,-2.0,-2.0,2.069,GAL,"rk_J,H,K; zneb mosfire, 2014nov, hiprij1_K; nz; m9[ap2]; z removed 2/18/2011",Q0449-BX116,2.069,0.08,,,,,,,,,,
Q0449-BX117,3558693100.0,7.0,73.07537,-16.67882,664.6747,1195.207,BX117,Q0449,23.96,,0.48,yes,2.19,2.187,2.1882,GAL,"zneb msfr jhk1 oct15; nz; m10; strong SiIV abs, efs emission",Q0449-BX117,2.1882,0.05,,,,,,,,,,
Q0449-BX12,7909796400.0,6.0,73.01097,-16.70782,168.4866,145.6854,BX12,Q0449,24.58,,0.68,yes,-2.0,2.352,-2.0,GAL,plus2_H;m10+m12,Q0449-BX12,2.352,0.43,,,,,,,,,,
Q0449-BX121,2313826300.0,14.0,73.07711,-16.65841,1012.488,1222.905,BX121,Q0449,24.52,,0.84,yes,2.692,2.683,-1.0,GAL,nz; m4,Q0449-BX121,2.683,0.44,,,,,,,,,,
Q0449-BX122,2589878800.0,3.0,73.07758,-16.63607,1393.149,1229.82,BX122,Q0449,25.13,,0.52,yes,-2.0,1.784,-1.0,GAL,nz; m6,Q0449-BX122,1.784,0.01,,,,,,,,,,
Q0449-BX123,22961408000.0,28.0,73.07531,-16.70087,288.9668,1194.976,BX123,Q0449,22.99,,0.62,yes,-2.0,1.715,-1.0,GAL,"nz; m1; has other abs lines, un-ided",Q0449-BX123,1.715,0.38,,,,,,,,,,
Q0449-BX126,7580567000.0,19.0,73.07884,-16.69725,350.7506,1252.438,BX126,Q0449,23.81,,0.84,yes,-2.0,1.812,-1.0,GAL,"nz; m8,m10; z from m10",Q0449-BX126,1.812,0.28,,,,,,,,,,
Q0449-BX128,6203028000.0,24.0,73.08107,-16.68658,532.6196,1288.46,BX128,Q0449,23.79,,1.09,yes,-2.0,2.458,2.4604,GAL,"has clear 4363 detection; plus1K,H; nz; m9; zneb mosfire oct12+nov13",Q0449-BX128,2.4604,0.32,,,,,,,,,,
Q0449-BX132,4818492900.0,12.0,73.08298,-16.63745,1369.792,1317.985,BX132,Q0449,24.28,,0.49,yes,2.284,2.277,2.2772,GAL,"plus1JHK,plus2_H;nz; m2[ap3]; [ap2] floater at z=3.286",Q0449-BX132,2.2772,0.14,,,,,,,,,,
Q0449-BX137,5948055600.0,2.0,73.0854,-16.69373,410.9164,1359.336,BX137,Q0449,24.97,,0.99,yes,2.4679,2.4626,2.4648,GAL,"rk_J,H,K; zneb msfr jhk1 oct15; nz; m12[ap2]",Q0449-BX137,2.4648,0.14,,,,,,,,,,
Q0449-BX138,1535007100.0,9.0,73.0857,-16.63798,1360.84,1362.388,BX138,Q0449,24.91,,0.69,yes,2.401,2.394,2.3934,GAL,nz; m7[ap1]; zneb mosfire oct12+nov13,Q0449-BX138,2.3934,0.17,,,,,,,,,,
Q0449-BX14,2510760400.0,3.0,73.01442,-16.6526,1109.49,199.8025,BX14,Q0449,24.96,,0.29,yes,-2.0,1.789,-1.0,GAL,nz; m10+m11; z not precise,Q0449-BX14,1.789,-0.01,,,,,,,,,,
Q0449-BX140,4726658600.0,7.0,73.08638,-16.68753,516.5852,1375.118,BX140,Q0449,24.61,,0.73,yes,-2.0,-2.0,2.2107,GAL,"rk_J,H,K; m13",Q0449-BX140,2.2107,0.25,,,,,,,,,,
Q0449-BX141,2759687200.0,3.0,73.08689,-16.66534,894.6913,1382.708,BX141,Q0449,24.92,,0.57,yes,2.212,2.21,2.2102,GAL,"plus1K,H; nz; m10+m11; zneb mosfire nov13",Q0449-BX141,2.2102,0.02,,,,,,,,,,
Q0449-BX143,732772610.0,14.0,73.08716,-16.651,1139.036,1386.641,BX143,Q0449,24.82,,0.86,yes,2.6254,-2.0,-2.0,GAL,"plus1K,H; m12,m13",Q0449-BX143,2.6254,0.11,,,,,,,,,,
Q0449-BX144,5065790000.0,8.0,73.08726,-16.71148,108.5301,1390.263,BX144,Q0449,24.01,,0.79,yes,-2.0,1.75,-1.0,GAL,nz; m9; not sure,Q0449-BX144,1.75,0.16,,,,,,,,,,
