name,RA,Dec,comments
LAE1571,238.1161000,19.1679550, point=cross 14 color=cyan width=2
LAE1576,237.9750208,19.1682961, point=cross 14 color=cyan width=2
LAE1577,237.9110333,19.1679428, point=cross 14 color=cyan width=2
LAE1583,238.0913625,19.1698389, point=cross 14 color=cyan width=2
LAE1587,237.9565333,19.1705558, point=cross 14 color=cyan width=2
LAE1588,237.9245792,19.1712572, point=cross 14 color=cyan width=2
LAE1589,237.8263167,19.1716181, point=cross 14 color=cyan width=2
LAE1591,237.9233125,19.1720858, point=cross 14 color=cyan width=2
LAE1592,237.8749500,19.1722417, point=cross 14 color=cyan width=2
LAE1593,237.8447833,19.1725100, point=cross 14 color=cyan width=2
LAE1595,238.0003875,19.1713733, point=cross 14 color=cyan width=2
LAE1596,237.9638750,19.1721133, point=cross 14 color=cyan width=2
LAE1597,238.0468167,19.1720736, point=cross 14 color=cyan width=2
LAE1600,238.1092167,19.1733936, point=cross 14 color=cyan width=2
LAE1601,237.7607000,19.1739597, point=cross 14 color=cyan width=2
LAE1603,237.8595875,19.1737219, point=cross 14 color=cyan width=2
LAE1609,238.0637750,19.1751253, point=cross 14 color=cyan width=2
LAE1610,238.0546750,19.1754050, point=cross 14 color=cyan width=2
LAE1612,238.0088750,19.1761289, point=cross 14 color=cyan width=2
LAE1616,237.9615292,19.1761369, point=cross 14 color=cyan width=2
LAE1617,237.9712625,19.1761819, point=cross 14 color=cyan width=2
LAE1618,237.9970917,19.1763644, point=cross 14 color=cyan width=2
LAE1619,238.0228750,19.1767883, point=cross 14 color=cyan width=2
LAE1623,237.9269958,19.1761350, point=cross 14 color=cyan width=2
LAE1627,237.8501292,19.1778733, point=cross 14 color=cyan width=2
LAE1629,237.9565375,19.1780692, point=cross 14 color=cyan width=2
LAE1631,237.7962167,19.1766953, point=cross 14 color=cyan width=2
LAE1633,237.9666917,19.1779878, point=cross 14 color=cyan width=2
LAE1635,237.7795542,19.1782853, point=cross 14 color=cyan width=2
LAE1636,237.9582208,19.1781694, point=cross 14 color=cyan width=2
LAE1637,238.0264625,19.1784222, point=cross 14 color=cyan width=2
LAE1638,238.0369083,19.1794253, point=cross 14 color=cyan width=2
LAE1639,237.7779833,19.1793747, point=cross 14 color=cyan width=2
LAE1642,238.0643375,19.1798464, point=cross 14 color=cyan width=2
LAE1643,238.0587542,19.1802411, point=cross 14 color=cyan width=2
LAE1644,237.9646208,19.1796367, point=cross 14 color=cyan width=2
LAE1645,238.0629208,19.1798031, point=cross 14 color=cyan width=2
LAE1646,238.0184875,19.1800106, point=cross 14 color=cyan width=2
LAE1651,238.0642750,19.1802222, point=cross 14 color=cyan width=2
LAE1652,237.9570667,19.1802669, point=cross 14 color=cyan width=2
LAE1653,238.0091292,19.1801022, point=cross 14 color=cyan width=2
LAE1656,238.0030750,19.1814231, point=cross 14 color=cyan width=2
LAE1660,237.9577125,19.1814661, point=cross 14 color=cyan width=2
LAE1661,238.1798042,19.1811825, point=cross 14 color=cyan width=2
LAE1662,237.7728542,19.1820814, point=cross 14 color=cyan width=2
LAE1664,237.9569792,19.1823022, point=cross 14 color=cyan width=2
LAE1666,237.9191708,19.1827550, point=cross 14 color=cyan width=2
LAE1668,237.9646542,19.1828158, point=cross 14 color=cyan width=2
LAE1669,238.1755958,19.1826653, point=cross 14 color=cyan width=2
LAE1674,237.7896750,19.1838214, point=cross 14 color=cyan width=2
LAE1675,237.9332500,19.1840114, point=cross 14 color=cyan width=2
LAE1677,238.0855958,19.1810581, point=cross 14 color=cyan width=2
LAE1678,237.9569458,19.1828492, point=cross 14 color=cyan width=2
LAE1679,237.9544792,19.1834264, point=cross 14 color=cyan width=2
LAE1680,237.9643917,19.1826375, point=cross 14 color=cyan width=2
LAE1681,237.9457417,19.1840842, point=cross 14 color=cyan width=2
LAE1684,237.8032000,19.1843958, point=cross 14 color=cyan width=2
LAE1687,237.9369125,19.1838483, point=cross 14 color=cyan width=2
LAE1688,237.8556292,19.1840097, point=cross 14 color=cyan width=2
LAE1690,237.9893583,19.1840736, point=cross 14 color=cyan width=2
LAE1691,237.9149833,19.1848067, point=cross 14 color=cyan width=2
LAE1693,237.9043875,19.1847003, point=cross 14 color=cyan width=2
LAE1695,238.1157792,19.1850708, point=cross 14 color=cyan width=2
LAE1696,237.9755833,19.1847344, point=cross 14 color=cyan width=2
LAE1699,238.1463458,19.1837378, point=cross 14 color=cyan width=2
LAE1700,237.9781208,19.1850808, point=cross 14 color=cyan width=2
LAE1701,237.9636042,19.1848828, point=cross 14 color=cyan width=2
LAE1702,237.8939792,19.1857400, point=cross 14 color=cyan width=2
LAE1703,238.1202917,19.1858244, point=cross 14 color=cyan width=2
LAE1704,237.9427833,19.1863950, point=cross 14 color=cyan width=2
LAE1706,237.9847750,19.1850286, point=cross 14 color=cyan width=2
LAE1707,237.7689458,19.1863458, point=cross 14 color=cyan width=2
LAE1709,237.8991042,19.1859778, point=cross 14 color=cyan width=2
LAE1710,237.9739625,19.1861031, point=cross 14 color=cyan width=2
LAE1712,237.9646750,19.1851772, point=cross 14 color=cyan width=2
LAE1713,237.9393000,19.1865092, point=cross 14 color=cyan width=2
LAE1715,238.1700000,19.1874264, point=cross 14 color=cyan width=2
LAE1716,238.0040958,19.1875731, point=cross 14 color=cyan width=2
LAE1717,238.1113917,19.1877589, point=cross 14 color=cyan width=2
LAE1719,238.1455250,19.1879467, point=cross 14 color=cyan width=2
LAE1721,237.8149250,19.1894025, point=cross 14 color=cyan width=2
LAE1726,237.9545167,19.1895422, point=cross 14 color=cyan width=2
LAE1727,237.7644958,19.1897500, point=cross 14 color=cyan width=2
LAE1732,237.9918375,19.1893386, point=cross 14 color=cyan width=2
LAE1735,237.9350250,19.1900739, point=cross 14 color=cyan width=2
LAE1736,237.8291750,19.1912897, point=cross 14 color=cyan width=2
LAE1740,238.1470042,19.1914208, point=cross 14 color=cyan width=2
LAE1741,237.8119625,19.1920678, point=cross 14 color=cyan width=2
LAE1742,238.1344250,19.1922950, point=cross 14 color=cyan width=2
LAE1743,238.0645792,19.1914958, point=cross 14 color=cyan width=2
LAE1744,237.8444125,19.1926178, point=cross 14 color=cyan width=2
LAE1751,237.7579000,19.1930692, point=cross 14 color=cyan width=2
LAE1752,238.0253500,19.1934650, point=cross 14 color=cyan width=2
LAE1756,237.7399917,19.1936172, point=cross 14 color=cyan width=2
LAE1757,237.9087500,19.1931794, point=cross 14 color=cyan width=2
LAE1758,237.9323292,19.1944797, point=cross 14 color=cyan width=2
LAE1759,237.8926417,19.1949633, point=cross 14 color=cyan width=2
LAE1760,238.0426875,19.1949464, point=cross 14 color=cyan width=2
LAE1761,237.9686375,19.1844775, point=cross 14 color=cyan width=2
LAE1762,238.0704500,19.1947125, point=cross 14 color=cyan width=2
LAE1763,237.9726792,19.1955014, point=cross 14 color=cyan width=2
LAE1767,237.9701833,19.1946675, point=cross 14 color=cyan width=2
LAE1768,237.9696708,19.1941197, point=cross 14 color=cyan width=2
LAE1774,238.0460667,19.1970117, point=cross 14 color=cyan width=2
LAE1775,238.0645750,19.1971756, point=cross 14 color=cyan width=2
LAE1779,237.9353125,19.1964597, point=cross 14 color=cyan width=2
LAE1782,237.7600292,19.1978331, point=cross 14 color=cyan width=2
LAE1783,238.1429042,19.1982158, point=cross 14 color=cyan width=2
LAE1784,237.9403458,19.1979744, point=cross 14 color=cyan width=2
LAE1786,238.1413417,19.1979592, point=cross 14 color=cyan width=2
LAE1787,237.9210667,19.1985047, point=cross 14 color=cyan width=2
LAE1789,237.8461125,19.1984869, point=cross 14 color=cyan width=2
LAE1790,237.8361333,19.1989600, point=cross 14 color=cyan width=2
LAE1791,237.9316292,19.1991869, point=cross 14 color=cyan width=2
LAE1795,238.0504542,19.1995372, point=cross 14 color=cyan width=2
