group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
Primary,D27,150,150,150,,,0,2.8150,True,,,238.0346500,19.1635700,15:52:08.316,+19:09:48.852,circle,,blue,D27,2.815,color=blue  width=2 text={D27} comment={2.815},50
Primary,M2,150,150,150,,,0,2.8690,True,,,237.9222700,19.1683200,15:51:41.345,+19:10:05.952,circle,,blue,M2,2.869,color=blue  width=2 text={M2} comment={2.869},51
Primary,M6,150,150,150,,,0,2.8870,True,,,237.9319800,19.1624500,15:51:43.675,+19:09:44.820,circle,,blue,M6,2.887,color=blue  width=2 text={M6} comment={2.887},52
Primary,M21,150,150,150,,,0,2.8301,True,,,238.0056300,19.2169100,15:52:01.351,+19:13:00.876,circle,,blue,M21,2.8301,color=blue  width=2 text={M21} comment={2.8301},53
Primary,LAB43,150,150,150,,,0,,True,,,237.9490125,19.1965417,15:51:47.763,+19:11:47.550,point,box,#00DD00,LAB43,,point=box 18 color=#00DD00 width=2 text={LAB43},54
Primary,SMGI,150,150,150,,,0,2.8510,True,,,238.0141667,19.1670278,15:52:03.400,+19:10:01.300,point,circle,yellow,SMGI,2.851,point=circle 16 color=yellow width=2 text={SMGI} comment={2.851},55
Primary,SMGL2019-11,150,150,150,,,0,2.8500,True,,,237.9580000,19.1946278,15:51:49.920,+19:11:40.660,point,circle,yellow,SMGL2019-11,2.85  L2019-11;SC2025/6.3sig,point=circle 16 color=yellow width=2 text={SMGL2019-11} comment={2.85  L2019-11;SC2025/6.3sig},56
Primary,SMGL2019-9,150,150,150,,,0,2.8500,True,,,237.9499583,19.1941750,15:51:47.990,+19:11:39.030,point,circle,yellow,SMGL2019-9,2.85  L2019-9;SC2025/5.8sig,point=circle 16 color=yellow width=2 text={SMGL2019-9} comment={2.85  L2019-9;SC2025/5.8sig},57
Primary,SMGSC2025-1,150,150,150,,,0,2.8500,True,,,237.9494167,19.1910944,15:51:47.860,+19:11:27.940,point,circle,yellow,SMGSC2025-1,2.85  SC2025/5.3sig not in L2019; position is ALMA band 6,point=circle 16 color=yellow width=2 text={SMGSC2025-1} comment={2.85  SC2025/5.3sig not in L2019; position is ALMA band 6},58
Primary,SMGL2019-27,150,150,150,,,0,2.8500,True,,,237.9441667,19.2204250,15:51:46.600,+19:13:13.530,point,circle,yellow,SMGL2019-27,2.85  L2019-27;SC2025/5.6sig,point=circle 16 color=yellow width=2 text={SMGL2019-27} comment={2.85  L2019-27;SC2025/5.6sig},59
Primary,SMGSC2025-2,150,150,150,,,0,2.8500,True,,,237.9150000,19.1692472,15:51:39.600,+19:10:09.290,point,circle,yellow,SMGSC2025-2,2.85  SC2025/5.3sig/maybe,point=circle 16 color=yellow width=2 text={SMGSC2025-2} comment={2.85  SC2025/5.3sig/maybe},60
