name,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
LAE1155,237.8957250,19.0807944,15:51:34.974,+19:04:50.860,point,cross,cyan,'LAE1155',,point=cross 14 color=cyan width=2 text={'LAE1155'},59
LAE1160,237.7880083,19.0837650,15:51:09.122,+19:05:01.554,point,cross,cyan,'LAE1160',,point=cross 14 color=cyan width=2 text={'LAE1160'},60
LAE1167,237.9587000,19.0851153,15:51:50.088,+19:05:06.415,point,cross,cyan,'LAE1167',,point=cross 14 color=cyan width=2 text={'LAE1167'},61
LAE1172,238.1018875,19.0875758,15:52:24.453,+19:05:15.273,point,cross,cyan,'LAE1172',,point=cross 14 color=cyan width=2 text={'LAE1172'},62
LAE1181,237.8344625,19.0896308,15:51:20.271,+19:05:22.671,point,cross,cyan,'LAE1181',,point=cross 14 color=cyan width=2 text={'LAE1181'},63
LAE1185,238.1240000,19.0903453,15:52:29.760,+19:05:25.243,point,cross,cyan,'LAE1185',,point=cross 14 color=cyan width=2 text={'LAE1185'},64
LAE1189,238.1316167,19.0917033,15:52:31.588,+19:05:30.132,point,cross,cyan,'LAE1189',,point=cross 14 color=cyan width=2 text={'LAE1189'},65
LAE1203,237.8117208,19.0942019,15:51:14.813,+19:05:39.127,point,cross,cyan,'LAE1203',,point=cross 14 color=cyan width=2 text={'LAE1203'},66
LAE1205,238.0026625,19.0947383,15:52:00.639,+19:05:41.058,point,cross,cyan,'LAE1205',,point=cross 14 color=cyan width=2 text={'LAE1205'},67
LAE1207,238.1226417,19.0944417,15:52:29.434,+19:05:39.990,point,cross,cyan,'LAE1207',,point=cross 14 color=cyan width=2 text={'LAE1207'},68
LAE1208,237.8221542,19.0947106,15:51:17.317,+19:05:40.958,point,cross,cyan,'LAE1208',,point=cross 14 color=cyan width=2 text={'LAE1208'},69
LAE1209,237.8791917,19.0955042,15:51:31.006,+19:05:43.815,point,cross,cyan,'LAE1209',,point=cross 14 color=cyan width=2 text={'LAE1209'},70
LAE1211,237.8228417,19.0963406,15:51:17.482,+19:05:46.826,point,cross,cyan,'LAE1211',,point=cross 14 color=cyan width=2 text={'LAE1211'},71
LAE1212,237.9642875,19.0954889,15:51:51.429,+19:05:43.760,point,cross,cyan,'LAE1212',,point=cross 14 color=cyan width=2 text={'LAE1212'},72
LAE1213,238.0697625,19.0962753,15:52:16.743,+19:05:46.591,point,cross,cyan,'LAE1213',,point=cross 14 color=cyan width=2 text={'LAE1213'},73
LAE1215,237.8975500,19.0970758,15:51:35.412,+19:05:49.473,point,cross,cyan,'LAE1215',,point=cross 14 color=cyan width=2 text={'LAE1215'},74
LAE1216,238.0168500,19.0975558,15:52:04.044,+19:05:51.201,point,cross,cyan,'LAE1216',,point=cross 14 color=cyan width=2 text={'LAE1216'},75
LAE1220,237.8488167,19.0986258,15:51:23.716,+19:05:55.053,point,cross,cyan,'LAE1220',,point=cross 14 color=cyan width=2 text={'LAE1220'},76
LAE1221,237.9897292,19.0976044,15:51:57.535,+19:05:51.376,point,cross,cyan,'LAE1221',,point=cross 14 color=cyan width=2 text={'LAE1221'},77
LAE1222,237.9978375,19.0992142,15:51:59.481,+19:05:57.171,point,cross,cyan,'LAE1222',,point=cross 14 color=cyan width=2 text={'LAE1222'},78
LAE1223,237.9643292,19.0993978,15:51:51.439,+19:05:57.832,point,cross,cyan,'LAE1223',,point=cross 14 color=cyan width=2 text={'LAE1223'},79
LAE1224,238.1147750,19.0986825,15:52:27.546,+19:05:55.257,point,cross,cyan,'LAE1224',,point=cross 14 color=cyan width=2 text={'LAE1224'},80
LAE1227,238.0616375,19.0996206,15:52:14.793,+19:05:58.634,point,cross,cyan,'LAE1227',,point=cross 14 color=cyan width=2 text={'LAE1227'},81
LAE1228,238.1144917,19.0980817,15:52:27.478,+19:05:53.094,point,cross,cyan,'LAE1228',,point=cross 14 color=cyan width=2 text={'LAE1228'},82
LAE1229,238.0046208,19.0999939,15:52:01.109,+19:05:59.978,point,cross,cyan,'LAE1229',,point=cross 14 color=cyan width=2 text={'LAE1229'},83
LAE1233,237.9099458,19.1006464,15:51:38.387,+19:06:02.327,point,cross,cyan,'LAE1233',,point=cross 14 color=cyan width=2 text={'LAE1233'},84
LAE1237,237.9835583,19.1014650,15:51:56.054,+19:06:05.274,point,cross,cyan,'LAE1237',,point=cross 14 color=cyan width=2 text={'LAE1237'},85
LAE1241,237.8000833,19.1025192,15:51:12.020,+19:06:09.069,point,cross,cyan,'LAE1241',,point=cross 14 color=cyan width=2 text={'LAE1241'},86
LAE1243,237.9235917,19.1027811,15:51:41.662,+19:06:10.012,point,cross,cyan,'LAE1243',,point=cross 14 color=cyan width=2 text={'LAE1243'},87
LAE1245,237.8431792,19.1032606,15:51:22.363,+19:06:11.738,point,cross,cyan,'LAE1245',,point=cross 14 color=cyan width=2 text={'LAE1245'},88
LAE1246,237.9098708,19.1042108,15:51:38.369,+19:06:15.159,point,cross,cyan,'LAE1246',,point=cross 14 color=cyan width=2 text={'LAE1246'},89
LAE1247,237.9738583,19.1034542,15:51:53.726,+19:06:12.435,point,cross,cyan,'LAE1247',,point=cross 14 color=cyan width=2 text={'LAE1247'},90
LAE1252,237.9833583,19.1027389,15:51:56.006,+19:06:09.860,point,cross,cyan,'LAE1252',,point=cross 14 color=cyan width=2 text={'LAE1252'},91
LAE1253,237.9875958,19.1049847,15:51:57.023,+19:06:17.945,point,cross,cyan,'LAE1253',,point=cross 14 color=cyan width=2 text={'LAE1253'},92
LAE1260,238.0185208,19.1067800,15:52:04.445,+19:06:24.408,point,cross,cyan,'LAE1260',,point=cross 14 color=cyan width=2 text={'LAE1260'},93
LAE1263,238.0438917,19.1076769,15:52:10.534,+19:06:27.637,point,cross,cyan,'LAE1263',,point=cross 14 color=cyan width=2 text={'LAE1263'},94
LAE1266,237.8169750,19.1082892,15:51:16.074,+19:06:29.841,point,cross,cyan,'LAE1266',,point=cross 14 color=cyan width=2 text={'LAE1266'},95
LAE1267,237.7836167,19.1079472,15:51:08.068,+19:06:28.610,point,cross,cyan,'LAE1267',,point=cross 14 color=cyan width=2 text={'LAE1267'},96
LAE1281,238.0273208,19.1112831,15:52:06.557,+19:06:40.619,point,cross,cyan,'LAE1281',,point=cross 14 color=cyan width=2 text={'LAE1281'},97
LAE1282,237.8950250,19.1117903,15:51:34.806,+19:06:42.445,point,cross,cyan,'LAE1282',,point=cross 14 color=cyan width=2 text={'LAE1282'},98
LAE1288,237.9296375,19.1130831,15:51:43.113,+19:06:47.099,point,cross,cyan,'LAE1288',,point=cross 14 color=cyan width=2 text={'LAE1288'},99
LAE1291,237.8017042,19.1138919,15:51:12.409,+19:06:50.011,point,cross,cyan,'LAE1291',,point=cross 14 color=cyan width=2 text={'LAE1291'},100
LAE1292,237.8797125,19.1141133,15:51:31.131,+19:06:50.808,point,cross,cyan,'LAE1292',,point=cross 14 color=cyan width=2 text={'LAE1292'},101
LAE1294,237.8375083,19.1150675,15:51:21.002,+19:06:54.243,point,cross,cyan,'LAE1294',,point=cross 14 color=cyan width=2 text={'LAE1294'},102
LAE1296,237.9375917,19.1159336,15:51:45.022,+19:06:57.361,point,cross,cyan,'LAE1296',,point=cross 14 color=cyan width=2 text={'LAE1296'},103
LAE1299,237.9743750,19.1158092,15:51:53.850,+19:06:56.913,point,cross,cyan,'LAE1299',,point=cross 14 color=cyan width=2 text={'LAE1299'},104
LAE1301,238.0540375,19.1165072,15:52:12.969,+19:06:59.426,point,cross,cyan,'LAE1301',,point=cross 14 color=cyan width=2 text={'LAE1301'},105
LAE1302,237.8914958,19.1165192,15:51:33.959,+19:06:59.469,point,cross,cyan,'LAE1302',,point=cross 14 color=cyan width=2 text={'LAE1302'},106
LAE1308,237.9330000,19.1178914,15:51:43.920,+19:07:04.409,point,cross,cyan,'LAE1308',,point=cross 14 color=cyan width=2 text={'LAE1308'},107
LAE1309,237.9483333,19.1177153,15:51:47.600,+19:07:03.775,point,cross,cyan,'LAE1309',,point=cross 14 color=cyan width=2 text={'LAE1309'},108
LAE1318,237.7873250,19.1194183,15:51:08.958,+19:07:09.906,point,cross,cyan,'LAE1318',,point=cross 14 color=cyan width=2 text={'LAE1318'},109
LAE1327,237.9541292,19.1208175,15:51:48.991,+19:07:14.943,point,cross,cyan,'LAE1327',,point=cross 14 color=cyan width=2 text={'LAE1327'},110
LAE1329,237.7874167,19.1209197,15:51:08.980,+19:07:15.311,point,cross,cyan,'LAE1329',,point=cross 14 color=cyan width=2 text={'LAE1329'},111
LAE1331,237.9665875,19.1229619,15:51:51.981,+19:07:22.663,point,cross,cyan,'LAE1331',,point=cross 14 color=cyan width=2 text={'LAE1331'},112
LAE1332,238.0103792,19.1234247,15:52:02.491,+19:07:24.329,point,cross,cyan,'LAE1332',,point=cross 14 color=cyan width=2 text={'LAE1332'},113
LAE1335,237.9486208,19.1235297,15:51:47.669,+19:07:24.707,point,cross,cyan,'LAE1335',,point=cross 14 color=cyan width=2 text={'LAE1335'},114
LAE1339,237.9588083,19.1253647,15:51:50.114,+19:07:31.313,point,cross,cyan,'LAE1339',,point=cross 14 color=cyan width=2 text={'LAE1339'},115
LAE1340,237.9689042,19.1246550,15:51:52.537,+19:07:28.758,point,cross,cyan,'LAE1340',,point=cross 14 color=cyan width=2 text={'LAE1340'},116
LAE1342,237.9422083,19.1255325,15:51:46.130,+19:07:31.917,point,cross,cyan,'LAE1342',,point=cross 14 color=cyan width=2 text={'LAE1342'},117
LAE1345,238.1093958,19.1266897,15:52:26.255,+19:07:36.083,point,cross,cyan,'LAE1345',,point=cross 14 color=cyan width=2 text={'LAE1345'},118
LAE1349,237.9693750,19.1268047,15:51:52.650,+19:07:36.497,point,cross,cyan,'LAE1349',,point=cross 14 color=cyan width=2 text={'LAE1349'},119
LAE1353,237.8794625,19.1279578,15:51:31.071,+19:07:40.648,point,cross,cyan,'LAE1353',,point=cross 14 color=cyan width=2 text={'LAE1353'},120
LAE1358,237.8753500,19.1286939,15:51:30.084,+19:07:43.298,point,cross,cyan,'LAE1358',,point=cross 14 color=cyan width=2 text={'LAE1358'},121
LAE1359,238.1215875,19.1283950,15:52:29.181,+19:07:42.222,point,cross,cyan,'LAE1359',,point=cross 14 color=cyan width=2 text={'LAE1359'},122
LAE1367,237.9712792,19.1295622,15:51:53.107,+19:07:46.424,point,cross,cyan,'LAE1367',,point=cross 14 color=cyan width=2 text={'LAE1367'},123
LAE1369,237.9726333,19.1293428,15:51:53.432,+19:07:45.634,point,cross,cyan,'LAE1369',,point=cross 14 color=cyan width=2 text={'LAE1369'},124
LAE1372,238.0782208,19.1297025,15:52:18.773,+19:07:46.929,point,cross,cyan,'LAE1372',,point=cross 14 color=cyan width=2 text={'LAE1372'},125
LAE1376,238.0537375,19.1322417,15:52:12.897,+19:07:56.070,point,cross,cyan,'LAE1376',,point=cross 14 color=cyan width=2 text={'LAE1376'},126
LAE1388,237.9329958,19.1336261,15:51:43.919,+19:08:01.054,point,cross,cyan,'LAE1388',,point=cross 14 color=cyan width=2 text={'LAE1388'},127
LAE1389,238.0504167,19.1344417,15:52:12.100,+19:08:03.990,point,cross,cyan,'LAE1389',,point=cross 14 color=cyan width=2 text={'LAE1389'},128
LAE1390,238.0596208,19.1343864,15:52:14.309,+19:08:03.791,point,cross,cyan,'LAE1390',,point=cross 14 color=cyan width=2 text={'LAE1390'},129
LAE1393,237.8915000,19.1367828,15:51:33.960,+19:08:12.418,point,cross,cyan,'LAE1393',,point=cross 14 color=cyan width=2 text={'LAE1393'},130
LAE1397,238.1296125,19.1381761,15:52:31.107,+19:08:17.434,point,cross,cyan,'LAE1397',,point=cross 14 color=cyan width=2 text={'LAE1397'},131
LAE1400,237.9862250,19.1381300,15:51:56.694,+19:08:17.268,point,cross,cyan,'LAE1400',,point=cross 14 color=cyan width=2 text={'LAE1400'},132
LAE1406,237.9413792,19.1394869,15:51:45.931,+19:08:22.153,point,cross,cyan,'LAE1406',,point=cross 14 color=cyan width=2 text={'LAE1406'},133
LAE1408,237.8593500,19.1403636,15:51:26.244,+19:08:25.309,point,cross,cyan,'LAE1408',,point=cross 14 color=cyan width=2 text={'LAE1408'},134
LAE1409,237.8519917,19.1400781,15:51:24.478,+19:08:24.281,point,cross,cyan,'LAE1409',,point=cross 14 color=cyan width=2 text={'LAE1409'},135
LAE1411,237.8885917,19.1402200,15:51:33.262,+19:08:24.792,point,cross,cyan,'LAE1411',,point=cross 14 color=cyan width=2 text={'LAE1411'},136
LAE1413,238.0638375,19.1405367,15:52:15.321,+19:08:25.932,point,cross,cyan,'LAE1413',,point=cross 14 color=cyan width=2 text={'LAE1413'},137
LAE1418,237.9506542,19.1416914,15:51:48.157,+19:08:30.089,point,cross,cyan,'LAE1418',,point=cross 14 color=cyan width=2 text={'LAE1418'},138
