ID,RA,DEC,Redshift,Label,Weight,Reference,FWHM,R50,Stellarity,Area,Ellipticity,Theta
164,237.9863333,19.217625,0.0,GNB5403,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
165,237.9840417,19.1990111,0.0,GNB5428,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
166,237.9858333,19.1481917,0.0,GNB5435,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
167,237.98466669999996,19.1536194,0.0,GNB5475,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
168,237.9848333,19.1849861,0.0,GNB5494,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
169,237.9819167,19.152225,0.0,GNB5571,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
170,237.977125,19.1822556,0.0,GNB5642,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
171,237.98125,19.1629667,0.0,GNB5662,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
172,237.9781667,19.1850833,0.0,GNB5677,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
173,237.9788333,19.166763900000003,0.0,GNB5707,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
174,237.97612499999997,19.1910556,0.0,GNB5780,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
175,237.97541669999998,19.2178583,0.0,GNB5808,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
176,237.9762083,19.1962972,0.0,GNB5831,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
177,237.9756667,19.1847306,0.0,GNB5877,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
178,237.927,19.1762167,0.0,GNB669,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
179,237.92924999999997,19.1778028,0.0,GNB699,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
180,237.9279167,19.2160333,0.0,GNB709,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
181,237.914125,19.1618972,0.0,GNB81,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
182,237.9323333,19.194525,0.0,GNB859,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
183,237.931625,19.1992528,0.0,GNB864,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
184,237.93316670000002,19.1839639,0.0,GNB920,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
185,237.9343333,19.2154278,0.0,GNB991,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
186,237.9343333,19.2154278,0.0,GNB991,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
187,238.02155,19.1952806,0.0,BX200,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
188,237.940375,19.1980583,0.0,GNB1300a,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
189,237.9525833,19.2006278,0.0,GNB1879a,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
190,238.0149583,19.2140056,0.0,GNB4022a,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
191,238.0149583,19.2140056,0.0,GNB4022b,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
192,237.911189,19.168050000000004,0.0,NB32,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
193,237.915745,19.181722,0.0,NB142,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
194,237.916632,19.150025,0.0,NB161,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
195,237.924605,19.1713183,0.0,NB418,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
196,237.9513996,19.2204942,0.0,NB1271,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
197,237.956583,19.1781168,0.0,NB1435,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
198,238.008924,19.1652879,0.0,NB3167,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
199,237.9686375,19.184477500000003,0.0,HS15491919,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
200,238.06947499999998,19.1615722,0.0,LAB29,1,true,0.0,0.0,-1.0,0.0,0.0,0.0
201,238.085425,19.181002800000005,0.0,LAB31,1,true,0.0,0.0,-1.0,0.0,0.0,0.0
202,238.0719167,19.2041667,0.0,LAB40,1,true,0.0,0.0,-1.0,0.0,0.0,0.0
203,238.0941667,19.1888333,0.0,SMGD,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
204,238.1104167,19.1713333,0.0,SMGF,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
205,238.05375,19.187861100000003,0.0,SMGJ,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
206,237.95534,19.15242,0.0,BX52,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
207,237.94157,19.20823,0.0,MD6,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
208,238.00091000000003,19.20514,0.0,MD28,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
209,237.92069,19.220150000000004,0.0,C2,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
210,237.93197,19.19862,0.0,C3,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
211,237.93595,19.183249999999997,0.0,C5,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
212,237.93911,19.14718,0.0,C8,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
213,237.94461,19.19789,0.0,C9,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
214,237.95175,19.156930000000003,0.0,C10,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
215,237.97176,19.15904,0.0,C16,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
216,237.98033,19.20542,0.0,C17,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
217,238.00084000000004,19.16909,0.0,C19,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
218,238.00167,19.14466,0.0,C20,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
219,238.01599000000002,19.162,0.0,C22,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
220,238.02935000000002,19.20535,0.0,C27,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
221,237.92265,19.14026,0.0,D1,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
222,237.93214,19.15345,0.0,D3,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
223,237.934,19.18025,0.0,D5,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
224,237.9427,19.16392,0.0,D7,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
225,237.9561458,19.1780528,0.0,D10,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
226,237.95922,19.13773,0.0,D12,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
227,237.96866,19.186509999999995,0.0,D15,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
228,237.97854,19.19199,0.0,D16,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
229,238.03388,19.19646,0.0,D26,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
230,237.92489,19.1395,0.0,M5,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
231,237.97358,19.15808,0.0,M16,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
232,237.9836,19.21464,0.0,M17,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
233,238.01131,19.16113,0.0,M22,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
234,238.02395,19.202429999999996,0.0,M23,1,true,0.0,0.0,-1.0,0.0,0.0,0.0
235,238.03341000000003,19.18485,0.0,M26,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
236,238.02007,19.21757,0.0,RK102,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
237,237.98684,19.19443,0.0,RK107,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
238,237.94204,19.14848,0.0,RK110,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
239,237.99191,19.16429,0.0,RK111,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
240,238.00477999999998,19.19168,0.0,RK121,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
241,237.95815,19.21878,0.0,RK126,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
242,237.96982,19.15333,0.0,fBX73,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
243,237.91144,19.15287,0.0,BX1,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
244,237.91396,19.16356,0.0,BX4,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
245,237.91463,19.15654,0.0,BX5,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
246,237.91636,19.20222,0.0,BX9,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
247,237.92006,19.16835,0.0,BX13,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
248,237.92046999999997,19.2008,0.0,BX14,20,true,0.0,0.0,-1.0,0.0,0.0,0.0
249,237.92357,19.20754,0.0,BX18,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
250,237.92518,19.210830000000005,0.0,BX21,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
251,237.92681,19.185869999999998,0.0,BX26,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
252,237.92931999999996,19.21692,0.0,BX27,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
253,237.94135,19.17591,0.0,BX35,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
254,237.94150000000002,19.18934,0.0,BX36,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
255,237.94247,19.15463,0.0,BX37,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
256,237.9437,19.16866,0.0,BX40,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
257,237.94491,19.16492,0.0,BX42,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
258,237.94736,19.17352,0.0,BX45,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
259,237.9505,19.17274,0.0,BX48,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
260,237.9539,19.186690000000002,0.0,BX51,5,true,0.0,0.0,-1.0,0.0,0.0,0.0
