name,RA,Dec,comments
LAE1803,237.9521333,19.2008303, point=cross 14 color=cyan width=2
LAE1804,237.9472667,19.2004833, point=cross 14 color=cyan width=2
LAE1805,238.1011375,19.2009350, point=cross 14 color=cyan width=2
LAE1808,237.7926250,19.2016431, point=cross 14 color=cyan width=2
LAE1813,237.8736417,19.2019864, point=cross 14 color=cyan width=2
LAE1818,238.0965458,19.2025606, point=cross 14 color=cyan width=2
LAE1822,237.8342542,19.2034244, point=cross 14 color=cyan width=2
LAE1824,238.0452792,19.2031347, point=cross 14 color=cyan width=2
LAE1836,238.0716583,19.2039461, point=cross 14 color=cyan width=2
LAE1845,238.0716417,19.2046147, point=cross 14 color=cyan width=2
LAE1846,237.9411625,19.2064003, point=cross 14 color=cyan width=2
LAE1851,237.9857333,19.2073344, point=cross 14 color=cyan width=2
LAE1854,238.0748500,19.2076342, point=cross 14 color=cyan width=2
LAE1855,237.8940667,19.2071131, point=cross 14 color=cyan width=2
LAE1861,238.1044208,19.2087889, point=cross 14 color=cyan width=2
LAE1862,237.9429958,19.2090639, point=cross 14 color=cyan width=2
LAE1863,238.0762417,19.2089472, point=cross 14 color=cyan width=2
LAE1864,238.1324542,19.2091600, point=cross 14 color=cyan width=2
LAE1865,237.8837833,19.2087939, point=cross 14 color=cyan width=2
LAE1866,237.8454542,19.2085744, point=cross 14 color=cyan width=2
LAE1871,238.0674125,19.2100961, point=cross 14 color=cyan width=2
LAE1872,237.9437125,19.2106542, point=cross 14 color=cyan width=2
LAE1876,237.9848333,19.2115914, point=cross 14 color=cyan width=2
LAE1882,237.8930792,19.2111117, point=cross 14 color=cyan width=2
LAE1883,237.9919583,19.2072736, point=cross 14 color=cyan width=2
LAE1889,237.9573667,19.2131783, point=cross 14 color=cyan width=2
LAE1890,238.0604875,19.2133578, point=cross 14 color=cyan width=2
LAE1892,238.0078417,19.2138069, point=cross 14 color=cyan width=2
LAE1897,237.8016500,19.2142961, point=cross 14 color=cyan width=2
LAE1898,238.0145125,19.2138539, point=cross 14 color=cyan width=2
LAE1901,237.8922917,19.2139825, point=cross 14 color=cyan width=2
LAE1902,238.0655875,19.2155683, point=cross 14 color=cyan width=2
LAE1904,238.0145042,19.2160583, point=cross 14 color=cyan width=2
LAE1905,238.0149417,19.2140144, point=cross 14 color=cyan width=2
LAE1906,237.9948417,19.2166794, point=cross 14 color=cyan width=2
LAE1907,237.8853875,19.2162442, point=cross 14 color=cyan width=2
LAE1911,238.1183292,19.2169378, point=cross 14 color=cyan width=2
LAE1914,237.9064583,19.2172814, point=cross 14 color=cyan width=2
LAE1916,238.0138500,19.2145289, point=cross 14 color=cyan width=2
LAE1917,237.9753750,19.2178086, point=cross 14 color=cyan width=2
LAE1918,238.0791333,19.2178428, point=cross 14 color=cyan width=2
LAE1922,237.8200292,19.2181425, point=cross 14 color=cyan width=2
LAE1923,237.9870000,19.2184214, point=cross 14 color=cyan width=2
LAE1924,238.1183333,19.2186803, point=cross 14 color=cyan width=2
LAE1925,238.1028708,19.2177694, point=cross 14 color=cyan width=2
LAE1926,238.0831333,19.2190050, point=cross 14 color=cyan width=2
LAE1931,237.8234042,19.2184983, point=cross 14 color=cyan width=2
LAE1933,237.8071292,19.2191853, point=cross 14 color=cyan width=2
LAE1936,237.9512833,19.2203656, point=cross 14 color=cyan width=2
LAE1937,237.8731000,19.2202369, point=cross 14 color=cyan width=2
LAE1938,237.9153958,19.2208053, point=cross 14 color=cyan width=2
LAE1940,238.0536583,19.2217575, point=cross 14 color=cyan width=2
LAE1943,238.0864583,19.2219344, point=cross 14 color=cyan width=2
LAE1944,237.9308625,19.2220828, point=cross 14 color=cyan width=2
LAE1945,238.1360167,19.2223306, point=cross 14 color=cyan width=2
LAE1946,237.9829500,19.2233469, point=cross 14 color=cyan width=2
LAE1948,237.9905583,19.2242986, point=cross 14 color=cyan width=2
LAE1953,237.9260125,19.2248489, point=cross 14 color=cyan width=2
LAE1954,237.8082042,19.2251039, point=cross 14 color=cyan width=2
LAE1957,237.9183458,19.2256519, point=cross 14 color=cyan width=2
LAE1958,237.8500667,19.2260047, point=cross 14 color=cyan width=2
LAE1959,238.0582583,19.2259264, point=cross 14 color=cyan width=2
LAE1961,237.9443375,19.2266064, point=cross 14 color=cyan width=2
LAE1963,237.9038250,19.2266858, point=cross 14 color=cyan width=2
LAE1970,237.9290500,19.2273903, point=cross 14 color=cyan width=2
LAE1978,237.9544250,19.2291397, point=cross 14 color=cyan width=2
LAE1979,238.0701708,19.2295389, point=cross 14 color=cyan width=2
LAE1980,237.8233000,19.2290747, point=cross 14 color=cyan width=2
LAE1981,237.9850958,19.2293728, point=cross 14 color=cyan width=2
LAE1982,238.0633208,19.2286917, point=cross 14 color=cyan width=2
LAE1991,238.1181250,19.2306989, point=cross 14 color=cyan width=2
LAE1994,238.1027750,19.2319269, point=cross 14 color=cyan width=2
LAE1997,238.0551208,19.2318339, point=cross 14 color=cyan width=2
LAE1998,237.8439625,19.2327419, point=cross 14 color=cyan width=2
LAE2000,237.9029083,19.2329572, point=cross 14 color=cyan width=2
LAE2002,237.7932167,19.2336225, point=cross 14 color=cyan width=2
LAE2008,237.8029625,19.2344581, point=cross 14 color=cyan width=2
LAE2009,237.7960333,19.2334625, point=cross 14 color=cyan width=2
LAE2012,237.7972875,19.2358256, point=cross 14 color=cyan width=2
LAE2013,238.1311583,19.2355633, point=cross 14 color=cyan width=2
LAE2014,237.7972958,19.2364636, point=cross 14 color=cyan width=2
LAE2016,237.8667667,19.2352675, point=cross 14 color=cyan width=2
LAE2017,237.7963458,19.2371261, point=cross 14 color=cyan width=2
LAE2021,237.8169792,19.2385994, point=cross 14 color=cyan width=2
LAE2022,237.9587750,19.2386144, point=cross 14 color=cyan width=2
LAE2030,238.0403333,19.2406719, point=cross 14 color=cyan width=2
LAE2036,237.9114917,19.2421361, point=cross 14 color=cyan width=2
LAE2037,237.9846417,19.2413122, point=cross 14 color=cyan width=2
LAE2043,237.8748000,19.2422917, point=cross 14 color=cyan width=2
LAE2046,237.9278167,19.2435425, point=cross 14 color=cyan width=2
LAE2051,237.9088167,19.2439392, point=cross 14 color=cyan width=2
LAE2052,237.9387333,19.2437547, point=cross 14 color=cyan width=2
LAE2060,238.0787458,19.2447144, point=cross 14 color=cyan width=2
LAE2064,238.0581208,19.2453189, point=cross 14 color=cyan width=2
LAE2067,237.8657417,19.2462736, point=cross 14 color=cyan width=2
LAE2068,238.0707125,19.2472256, point=cross 14 color=cyan width=2
LAE2070,237.7991917,19.2473603, point=cross 14 color=cyan width=2
LAE2071,237.8458500,19.2467642, point=cross 14 color=cyan width=2
LAE2072,237.8428042,19.2472861, point=cross 14 color=cyan width=2
LAE2074,238.0551125,19.2485300, point=cross 14 color=cyan width=2
