RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Ude,zlya,zabs,zneb,type,comments,FULL_ID,SED_ID,stellar_mass,z_best
237.98029,19.1719,628.0,1115.4,BX94,Q1549,24.53,0.33,0.86,yes,-2.0,2.008,2.0074,GAL,"""nz; m2; changed z 12/23/2010""",Q1549-BX94,Q1549-BX94,14564760000.0,2.0074
237.98035,19.2033,1161.3,1117.7,BX95,Q1549,24.11,0.4,1.16,yes,-2.0,2.298,-1.0,GAL,"""nz; m1; strong Lya abs""",Q1549-BX95,Q1549-BX95,19120853000.0,2.298
237.98074,19.20987,1272.9,1124.3,BX96,Q1549,24.06,0.39,1.16,yes,-2.0,1.7718,-2.0,GAL,"""msfr 5/2014; nz; m3""",Q1549-BX96,Q1549-BX96,17338710000.0,1.7718
237.91523,19.17797,734.0,68.2,C1,Q1549,24.72,0.46,2.49,no,2.845,-2.0,-1.0,GAL,"""""",Q1549-C1,Q1549-C1,2803235800.0,2.845
237.95175,19.15693,375.0,655.2,C10,Q1549,24.84,0.32,2.53,no,3.1934,3.183,3.1894,GAL,"""L2; msfr m1 5/16; nz; m1;L2""",Q1549-C10,Q1549-C10,7464473100.0,3.1894
237.95567,19.16459,504.9,718.7,C12,Q1549,25.19,0.5,2.16,no,-2.0,2.8352,-1.0,GAL,"""nz; m3; possible addl z=2.158""",Q1549-C12,Q1549-C12,4456803800.0,2.8352
237.95704,19.18278,813.8,741.6,C13,Q1549,25.14,0.22,2.27,no,2.8432,-2.0,-1.0,GAL,"""nz; m8; also GNB1988""",Q1549-C13,Q1549-C13,2239441400.0,2.8432
237.9609,19.15512,343.9,802.5,C14,Q1549,24.81,0.67,2.21,no,-2.0,2.841,-1.0,GAL,"""nz; m1+m8""",Q1549-C14,Q1549-C14,11987738000.0,2.841
237.96395,19.1721,632.1,852.4,C15,Q1549,25.45,0.24,1.87,no,2.849,2.849,-1.0,GAL,"""also GNB2357; nz; m6,m8""",Q1549-C15,Q1549-C15,4135610900.0,2.849
237.97176,19.15904,410.0,977.5,C16,Q1549,24.39,0.51,2.66,no,-2.0,2.3789,-1.0,GAL,"""nz; m4+m6""",Q1549-C16,Q1549-C16,15259958000.0,2.3789
237.98033,19.20542,1197.3,1117.5,C17,Q1549,24.85,0.43,2.46,no,2.941,2.934,-1.0,GAL,"""L2; m6,m8; poss LyC detection m8""",Q1549-C17,Q1549-C17,887493310.0,2.934
238.00084,19.16909,579.5,1446.2,C19,Q1549,24.78,0.15,2.84,no,3.1663,3.1579,3.1621,GAL,"""L2; nz; mask L2,v. strong Lya em double (3.15567/3.16628)""",Q1549-C19,Q1549-C19,9641828400.0,3.1621
237.92069,19.22015,1450.1,158.1,C2,Q1549,24.42,0.65,2.89,no,3.1,-2.0,-1.0,GAL,"""m5,ap1 and m7,ap2""",Q1549-C2,Q1549-C2,18338189000.0,3.1
238.00167,19.14466,164.6,1458.6,C20,Q1549,24.87,0.4,2.31,no,3.115,-2.0,3.1174,GAL,"""""",Q1549-C20,Q1549-C20,8760899600.0,3.1174
238.01599,19.162,458.5,1689.9,C22,Q1549,24.61,0.75,2.36,no,-2.0,2.96,2.9622,GAL,"""L2; msfr m1 5/16; nz; m6, L2; strong abs""",Q1549-C22,Q1549-C22,6095419900.0,2.9622
238.0234,19.21989,1441.4,1811.4,C24,Q1549,25.06,0.47,2.18,no,2.834,2.826,-1.0,GAL,"""m7; short, need red-side spec""",Q1549-C24,Q1549-C24,4050712800.0,2.826
238.02529,19.19121,954.2,1840.7,C25,Q1549,24.83,0.23,2.64,no,3.159,-2.0,3.1526,GAL,"""L2; LyC; msfr m1, slitcor1_H""",Q1549-C25,Q1549-C25,4727122400.0,3.1526
238.02563,19.193188,988.0,1846.0,C25-CS5,Q1549,25.49,0.18,1.46,yes,2.3475,2.3432,-1.0,GAL,"""q1549-C25 kcwi cube """,Q1549-C25-CS5,Q1549-C25-CS5,9542555600.0,2.3432
238.02935,19.20535,1194.2,1906.6,C27,Q1549,24.51,0.25,2.91,no,2.931,2.922,-1.0,GAL,"""L2; nz; m8, L2; poss LyC detecton""",Q1549-C27,Q1549-C27,6843153400.0,2.922
