ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave,config,group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments_x,attrs_raw,order_in_file,SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Udet,zlya,zabs,zneb,type,comments_y,FULL_ID,NBmag,NBcol,Comments,z_best
304,238.01486,19.16727,Filler,-0.028299,0.030271,258.0058,237.98804433,19.182285,380.829,-322.4206,2,139,114,0.63,0.597,-1.0,-1.0,1.80310059,-2.0,c1e1n1,Filler,BX70,1,1,1,,,0,1.7739,True,,,237.96674,19.15783,15:51:52.018,+19:09:28.188,circle,,blue,BX70,1.7739,color=blue  width=2 text={BX70} comment={1.7739},73,Q1549-BX70,5424364000.0,17.0,237.96674,19.15783,389.6918,896.7105,BX70,Q1549,23.48,0.16,0.52,yes,1.7779,1.7725,-1.0,GAL,nz; m6,Q1549-BX70,,,,1.7725
307,238.01765,19.16101,Filler,-0.037756,0.0321,258.0058,237.98804433,19.182285,395.7927,-303.0801,2,49,123,0.547,0.572,-1.0,-1.0,-1.0,-2.0,c1e1n1,Filler,BX84,5,5,5,,,0,2.825,True,,,237.97374,19.20684,15:51:53.698,+19:12:24.624,circle,,blue,BX84,2.825,color=blue  width=2 text={BX84} comment={2.825},76,Q1549-BX84,3667145700.0,11.0,237.97374,19.20684,1221.7438,1011.514,BX84,Q1549,24.47,0.5,1.07,yes,-2.0,2.823,-1.0,GAL,nz; m3; v strong Lya and ism abs,Q1549-BX84,,,,2.823
365,238.003403,19.162231,Filler,-0.032021,0.014033,258.0058,237.98804433,19.182285,415.7777,-347.4358,2,104,34,0.229,0.798,-1.0,-1.0,-1.0,-2.0,c1e1n1,Filler,MD6,5,5,5,,,0,2.7349,True,,,237.94157,19.20823,15:51:45.977,+19:12:29.628,circle,,blue,MD6,2.7349,color=blue  width=2 text={MD6} comment={2.7349},134,Q1549-MD6,2275053800.0,28.0,237.94157,19.20823,1246.7345,493.7085,MD6,Q1549,24.03,0.44,1.49,yes,2.7417,2.733,-1.0,GAL,nz; m6; em poss @2.414 also,Q1549-MD6,,,,2.733
480,237.9715833,19.1683389,Filler,-0.014629,-0.024888,258.0058,237.98804433,19.182285,449.7974,-452.4862,1,268,84,0.731,0.5,-1.0,1.94881988,2.11293435,-2.0,c1e1n1,Filler,GNB269,5,10,1,10.0,^GNB,1,,False,,,237.9176667,19.1914833,15:51:40.240,+19:11:29.340,circle,,red,GNB269,,color=red width=2 text={GNB269},249,,,,,,,,,,,,,,,,,,,,,,,
545,238.0190833,19.1595333,Filler,-0.040206,0.033539,258.0058,237.98804433,19.182285,398.0268,-296.222,2,26,130,0.209,0.64,-1.0,-1.0,-1.0,-2.0,c1e1n1,Filler,GNB3866,5,10,1,10.0,^GNB,1,,False,,,238.01775,19.1462222,15:52:04.260,+19:08:46.400,circle,,red,GNB3866,,color=red width=2 text={GNB3866},314,,,,,,,,,,,,,,,,,,,,,,,
561,238.0084167,19.1699583,Filler,-0.022754,0.022701,258.0058,237.98804433,19.182285,383.1696,-346.2598,2,192,77,0.469,0.408,-1.0,1.78036785,1.94505954,-2.0,c1e1n1,Filler,GNB4216,5,10,1,10.0,^GNB,1,,False,,,238.0124583,19.1395222,15:52:02.990,+19:08:22.280,circle,,red,GNB4216,,color=red width=2 text={GNB4216},330,,,,,,,,,,,,,,,,,,,,,,,
596,237.992,19.2072778,Contaminant,0.0335,0.012373,258.0058,237.98804433,19.182285,293.5863,-460.9044,4,276,26,0.752,0.72,-1.0,-2.0,-2.0,-2.0,c1e1n1,Filler,GNB4859,10,10,1,10.0,^GNB,0,,True,,,237.9969583,19.1839889,15:51:59.270,+19:11:02.360,circle,,red,GNB4859,,color=red width=2 text={GNB4859},365,,,,,,,,,,,,,,,,,,,,,,,
605,237.9915,19.2000972,Filler,0.023699,0.009624,258.0058,237.98804433,19.182285,316.9371,-449.6813,4,183,13,0.399,0.2,-1.0,2.99937105,-2.0,-2.0,c1e1n1,Filler,GNB4984,10,10,1,10.0,^GNB,0,,True,,,237.9911667,19.1871361,15:51:57.880,+19:11:13.690,circle,,red,GNB4984,,color=red width=2 text={GNB4984},373,,,,,,,,,,,,,,,,,,,,,,,
624,237.9832917,19.1646778,Filler,-0.022955,-0.011043,258.0058,237.98804433,19.182285,441.7147,-411.3307,1,189,152,0.373,0.507,-1.0,1.74468958,1.90900791,-2.0,c1e1n1,Filler,GNB5368,10,10,1,10.0,^GNB,0,,True,,,237.9859167,19.2121694,15:51:56.620,+19:12:43.810,circle,,red,GNB5368,,color=red width=2 text={GNB5368},392,,,,,,,,,,,,,,,,,,,,,,,
955,238.0091292,19.1801022,Contaminant,-0.008893,0.02654,258.0058,237.98804433,19.182285,350.1733,-362.099,2,324,96,0.493,0.291,-1.0,2.15209866,2.31682301,-2.0,c1e1n1,Filler,LAE1635,1,1,1,,,0,,True,,,237.7795542,19.1782853,15:51:07.093,+19:10:41.827,point,cross,cyan,'LAE1635',,point=cross 14 color=cyan width=2 text={'LAE1635'},723,,,,,,,,,,,,,,,,,,,,,,,
8,237.9749167,19.1782889,Primary,-0.030226,0.022653,257.9945,237.95343363,19.19578389,397.5396,-333.8342,2,121,77,0.304,0.159,-1.0,-1.0,1.74686825,-2.0,c2e1n1,Primary,GNB2920,50,50,150,50.0,^GNB,0,2.8687,True,,,237.9749167,19.1782889,15:51:53.980,+19:10:41.840,circle,,green,GNB2920,2.86873 CO detection,color=green width=2 text={GNB2920} comment={2.86873 CO detection},10,,,,,,,,,,,,,,,,,,,,,,,
12,237.971375,19.1762222,Primary,-0.032077,0.017493,257.9945,237.95343363,19.19578389,409.9373,-340.6682,2,103,51,0.684,0.801,-1.0,-1.0,-1.0,-2.0,c2e1n1,Primary,GNB2753,50,50,150,50.0,^GNB,0,2.852,True,,,237.971375,19.1762222,15:51:53.130,+19:10:34.400,circle,,green,GNB2753,2.85203 in HS1549 tail also LAE 1617,color=green width=2 text={GNB2753} comment={2.85203 in HS1549 tail also LAE 1617},14,,,,,,,,,,,,,,,,,,,,,,,
13,237.9713333,19.1825028,Primary,-0.023381,0.019229,257.9945,237.95343363,19.19578389,390.3123,-351.9008,2,186,60,0.513,0.343,-1.0,1.76072502,1.92538583,-2.0,c2e1n1,Primary,NB1931,50,50,150,50.0,^NB,0,2.8524,True,,,237.9713333,19.1825028,15:51:53.120,+19:10:57.010,circle,,green,NB1931,2.8524 inside QSO nebula,color=green width=2 text={NB1931} comment={2.8524 inside QSO nebula },15,Q1549-NB1931,209934960.0,4.0,237.97142,19.18245,807.71,970.68,NB1931,Q1549,26.08,0.33,1.79,no,2.8527,-2.0,-1.0,GAL,strong lya - catalog z is off,Q1549-NB1931,,,,2.8527
19,237.94803,19.17042,Primary,-0.033436,-0.014049,257.9945,237.95343363,19.19578389,467.13,-399.5536,1,89,137,0.556,0.713,-1.0,-1.0,-1.0,-2.0,c2e1n1,Primary,MD34,150,150,150,,,0,2.851,True,,,238.02637,19.21347,15:52:06.329,+19:12:48.492,circle,,blue,MD34,2.851,color=blue  width=2 text={MD34} comment={2.851},20,Q1549-MD34,19224895000.0,24.0,238.02637,19.21347,1332.2836,1858.993,MD34,Q1549,24.08,0.67,1.96,yes,-2.0,2.849,-1.0,GAL,,Q1549-MD34,,,,2.849
29,237.93853,19.20366,Primary,0.014984,-0.016697,257.9945,237.95343363,19.19578389,378.752,-486.4694,3,100,124,0.414,0.714,-1.0,2.7386539,2.90289187,-2.0,c2e1n1,Primary,C6,150,150,150,,,0,2.83,True,,,237.9365,19.1758,15:51:44.760,+19:10:32.880,circle,,blue,C6,2.83,color=blue  width=2 text={C6} comment={2.83},30,Q1549-C6,15682951000.0,12.0,237.9365,19.1758,696.1973,410.5956,C6,Q1549,24.32,0.68,2.62,no,-2.0,2.828,-1.0,GAL,"nz;v. weak em; mult masks (m3,m5,m7)",Q1549-C6,,,,2.828
61,237.9353333,19.1965417,Primary,0.006056,-0.022796,257.9945,237.95343363,19.19578389,406.414,-483.3506,3,15,94,0.391,0.742,-1.0,2.49649334,2.66063929,-2.0,c2e1n1,Primary,NB3147,50,50,150,50.0,^NB,0,2.829,True,,,238.0091292,19.1801022,15:52:02.191,+19:10:48.368,point,cross,cyan,'NB3147',2.8290 LyC leaker lae7832 in Mostardi+13,point=cross 14 color=cyan width=2 text={'NB3147'} comment={2.8290 LyC leaker lae7832 in Mostardi+13},62,Q1549-NB3147,964461890.0,19.0,238.0091605,19.1801533,767.1,1580.67,NB3147,Q1549,,,,,2.829,-1.0,,,,Q1549-NB3147,24.51,0.44,nb3249 24.1787 0.5628 2.8290,2.829
76,237.94375,19.2107222,Primary,0.023301,-0.008012,257.9945,237.95343363,19.19578389,347.8876,-483.4979,3,179,167,0.62,0.393,-1.0,2.96761084,-2.0,-2.0,c2e1n1,Primary,GNB126,25,50,150,50.0,^GNB,1,2.8547,False,,,237.9152917,19.2209361,15:51:39.670,+19:13:15.370,circle,,green,GNB126,2.8547,color=green width=2 text={GNB126} comment={2.8547},77,,,,,,,,,,,,,,,,,,,,,,,
93,237.9574583,19.2132444,Primary,0.023055,0.010255,257.9945,237.95343363,19.19578389,317.086,-447.363,4,177,16,0.264,0.303,-1.0,2.98342276,-2.0,-2.0,c2e1n1,Primary,GNB1972,50,50,150,50.0,^GNB,0,2.8405,True,,,237.955125,19.1867611,15:51:49.230,+19:11:12.340,circle,,green,GNB1972,2.84052,color=green width=2 text={GNB1972} comment={2.84052},94,,,,,,,,,,,,,,,,,,,,,,,
101,237.96975,19.1941417,Primary,-0.006813,0.020529,257.9945,237.95343363,19.19578389,356.4598,-377.1765,2,344,66,0.324,0.758,-1.0,2.20241737,2.36708879,-2.0,c2e1n1,Primary,GNB2273,50,50,150,50.0,^GNB,0,2.8458,True,,,237.9615833,19.1761833,15:51:50.780,+19:10:34.260,circle,,green,GNB2273,2.84578,color=green width=2 text={GNB2273} comment={2.84578},102,,,,,,,,,,,,,,,,,,,,,,,
118,237.98375,19.1930361,Primary,-0.012272,0.038344,257.9945,237.95343363,19.19578389,336.5388,-333.7607,2,292,154,0.27,0.294,-1.0,2.07253957,2.23735523,-2.0,c2e1n1,Primary,GNB2837,50,50,150,50.0,^GNB,0,2.7977,True,,,237.9768333,19.136425,15:51:54.440,+19:08:11.130,circle,,green,GNB2837,2.79766,color=green width=2 text={GNB2837} comment={2.79766},119,Q1549-GNB2837,1741356800.0,27.0,237.9768089,19.13641,25.49,1057.94,GNB2837,Q1549,,,,,2.7977,-1.0,,,,Q1549-GNB2837,23.26,3.1,,2.7977
128,237.9213333,19.2017806,Primary,0.017082,-0.03896,257.9945,237.95343363,19.19578389,413.3592,-534.0783,3,120,15,0.457,0.344,-1.0,2.7648983,2.9287765,-2.0,c2e1n1,Primary,GNB3424,50,50,150,50.0,^GNB,0,2.7657,True,,,238.027625,19.1809278,15:52:06.630,+19:10:51.340,circle,,green,GNB3424,2.76574,color=green width=2 text={GNB3424} comment={2.76574},129,,,,,,,,,,,,,,,,,,,,,,,
162,237.9857917,19.1778194,Primary,-0.033962,0.036608,257.9945,237.95343363,19.19578389,380.8421,-300.7953,2,85,145,0.674,0.728,-1.0,-1.0,-1.0,-2.0,c2e1n1,Primary,GNB5285,25,50,150,50.0,^GNB,1,2.8604,False,,,237.9888333,19.1449417,15:51:57.320,+19:08:41.790,circle,,green,GNB5285,2.86042,color=green width=2 text={GNB5285} comment={2.86042},163,Q1549-GNB5285,8614313000.0,4.0,237.9887839,19.1449444,169.95,1251.15,GNB5285,Q1549,,,,,2.8604,-1.0,,,,Q1549-GNB5285,25.99,0.92,,2.8604
170,237.977125,19.1822556,Primary,-0.025361,0.026642,257.9945,237.95343363,19.19578389,381.4116,-334.3105,2,167,96,0.629,0.772,-1.0,1.713714,1.87843883,-2.0,c2e1n1,Primary,GNB5428,50,50,150,50.0,^GNB,0,2.8495,True,,,237.9840417,19.1990111,15:51:56.170,+19:11:56.440,circle,,green,GNB5428,2.8495,color=green width=2 text={GNB5428} comment={2.8495},171,Q1549-GNB5428,6159660500.0,3.0,237.9840256,19.1990493,1089.01,1176.77,GNB5428,Q1549,,,,,2.8495,-1.0,,,,Q1549-GNB5428,25.53,1.07,GNB5428 25.5314 1.0712 2.8495 ; NB3950 25.9690 0.5306 nb4114 25.4228 0.6175 2.8495,2.8495
174,237.976125,19.1910556,Primary,-0.01288,0.02788,257.9945,237.95343363,19.19578389,355.4877,-352.8382,2,286,102,0.51,0.87,-1.0,2.04707146,2.21180606,-2.0,c2e1n1,Primary,GNB5494,50,50,150,50.0,^GNB,0,2.868,True,,,237.9848333,19.1849861,15:51:56.360,+19:11:05.950,circle,,green,GNB5494,2.8680,color=green width=2 text={GNB5494} comment={2.8680},174,Q1549-GNB5494,2583869200.0,3.0,237.984821,19.1850158,850.65,1188.99,GNB5494,Q1549,,,,,2.868,-1.0,,,,Q1549-GNB5494,24.72,2.31,GNB5494 24.7233 2.3056 2.8680 ; NB3858 25.0253 1.4215 nb4041 24.4557 1.5792 2.8680,2.868
175,237.9754167,19.2178583,Primary,0.024542,0.034782,257.9945,237.95343363,19.19578389,272.624,-402.3462,4,191,136,0.372,0.832,-1.0,3.04782081,-2.0,-2.0,c2e1n1,Primary,GNB5571,50,50,150,50.0,^GNB,0,2.7137,True,,,237.9819167,19.152225,15:51:55.660,+19:09:08.010,circle,,green,GNB5571,2.71367,color=green width=2 text={GNB5571} comment={2.71367},175,Q1549-GNB5571,8512553500.0,4.0,237.9818861,19.1522262,293.89,1140.37,GNB5571,Q1549,,,,,2.7137,-1.0,,,,Q1549-GNB5571,26.25,0.62,,2.7137
176,237.9762083,19.1962972,Primary,-0.005629,0.029504,257.9945,237.95343363,19.19578389,338.9121,-361.8633,2,355,110,0.575,0.864,-1.0,2.24111795,2.40586543,-2.0,c2e1n1,Primary,GNB5642,50,50,150,50.0,^GNB,0,2.8456,True,,,237.977125,19.1822556,15:51:54.510,+19:10:56.120,circle,,green,GNB5642,2.84562,color=green width=2 text={GNB5642} comment={2.84562},176,,,,,,,,,,,,,,,,,,,,,,,
183,237.931625,19.1992528,Primary,0.010804,-0.026712,257.9945,237.95343363,19.19578389,404.1036,-499.1273,3,60,75,0.626,0.507,-1.0,2.61584306,2.77992845,-2.0,c2e1n1,Primary,GNB5877,50,50,150,50.0,^GNB,0,2.8414,True,,,237.9756667,19.1847306,15:51:54.160,+19:11:05.030,circle,,green,GNB5877,2.8414,color=green width=2 text={GNB5877} comment={2.8414},183,,,,,,,,,,,,,,,,,,,,,,,
